internalField   nonuniform List<vector>
1280
(
(595689 -6.27934e+06 -545597)
(310677 -6.08701e+06 -594068)
(357904 -6.14814e+06 -590153)
(404923 -6.19067e+06 -592376)
(446105 -6.22035e+06 -599087)
(484004 -6.24177e+06 -601296)
(525219 -6.24324e+06 -578594)
(330167 -6.09414e+06 -606053)
(377587 -6.15403e+06 -602356)
(424587 -6.1956e+06 -605002)
(464942 -6.22491e+06 -611252)
(503836 -6.24593e+06 -610741)
(547537 -6.24496e+06 -581126)
(339831 -6.09847e+06 -612490)
(387387 -6.15761e+06 -608915)
(434360 -6.19865e+06 -611815)
(474309 -6.22784e+06 -617724)
(513934 -6.24861e+06 -615445)
(558771 -6.24617e+06 -581894)
(305630 -6.01108e+06 -628999)
(353524 -6.10488e+06 -621580)
(401242 -6.16292e+06 -618196)
(448043 -6.20321e+06 -621406)
(487497 -6.23232e+06 -626761)
(528173 -6.25268e+06 -621597)
(574764 -6.2482e+06 -582575)
(324929 -6.08211e+06 -653849)
(369021 -6.1417e+06 -651407)
(413584 -6.18398e+06 -651677)
(454762 -6.21325e+06 -653715)
(490715 -6.2322e+06 -652228)
(527790 -6.22842e+06 -636962)
(299985 -5.99354e+06 -666652)
(344583 -6.08759e+06 -663154)
(388780 -6.14586e+06 -660751)
(433684 -6.18728e+06 -660998)
(474086 -6.21601e+06 -662637)
(510520 -6.23405e+06 -660278)
(549582 -6.22704e+06 -642122)
(309958 -5.99846e+06 -673731)
(354783 -6.09113e+06 -670467)
(399157 -6.14863e+06 -668127)
(444243 -6.18953e+06 -668289)
(484121 -6.218e+06 -669558)
(520779 -6.23542e+06 -666612)
(560324 -6.22649e+06 -644482)
(322511 -6.00485e+06 -681263)
(367394 -6.09561e+06 -678151)
(411891 -6.15208e+06 -675843)
(457054 -6.19235e+06 -675896)
(496295 -6.22061e+06 -676788)
(533755 -6.23727e+06 -673237)
(575631 -6.22575e+06 -647080)
(1.36386e+06 -6.18412e+06 -30639.7)
(1.44152e+06 -6.16813e+06 -14236.8)
(1.4779e+06 -6.1409e+06 -3721.19)
